movieId,userId,rating,timestamp,label,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
1,4937,4.5,1067052747,1,1995,Adventure,Animation,Children,10759,3.91,0.89,73,953,783,920,575,30,1987,18.66,3.50,1.03,Drama,Thriller,Romance,Crime,Children
11,11888,3.0,845674835,0,1995,Comedy,Drama,Romance,3846,3.69,0.88,266,160,39,539,410,55,1993,1.52,3.31,0.94,Comedy,Action,Thriller,Romance,Drama
110,11078,3.0,1286031644,0,1995,Action,Drama,War,11637,4.04,0.97,593,296,20,232,"",6,1993,1.37,3.42,0.80,Thriller,Crime,Drama,Comedy,Action
110,2162,5.0,836418296,1,1995,Action,Drama,War,11637,4.04,0.97,457,208,161,316,329,20,1993,1.76,3.65,0.99,Adventure,Drama,Action,Thriller,Sci-Fi
111,9993,4.5,1117224498,1,1976,Crime,Drama,Thriller,5305,4.12,0.85,296,750,471,923,16,7,1982,21.60,3.86,0.85,Drama,Comedy,Crime,Thriller,Mystery
141,20428,1.0,853612467,0,1996,Comedy,"","",4859,3.52,0.96,95,736,"","","",3,1996,0.00,3.67,0.58,Action,Thriller,Adventure,Romance,""
150,5925,5.0,1111476394,1,1995,Adventure,Drama,IMAX,10324,3.86,0.86,198,"","","","",4,1995,0.82,2.75,1.85,Action,Sci-Fi,Thriller,Mystery,Crime
153,19338,4.0,829733584,1,1995,Action,Adventure,Comedy,7100,2.89,0.95,150,592,437,300,296,7,1993,1.99,4.14,0.90,Drama,Thriller,Crime,Comedy,Action
153,22596,3.0,835734809,0,1995,Action,Adventure,Comedy,7100,2.89,0.95,150,"","","","",3,1991,3.21,3.33,1.53,Adventure,IMAX,Drama,"",""
16,18333,2.0,945585938,0,1995,Crime,Drama,"",3846,3.81,0.85,832,161,62,151,628,69,1994,1.59,3.28,1.08,Drama,Action,Thriller,Adventure,Crime
160,15555,2.0,900949830,0,1995,Action,Adventure,Mystery,3235,2.60,1.01,780,671,198,589,541,36,1992,9.50,4.03,0.51,Drama,Comedy,Thriller,Action,Romance
165,23843,5.0,867780827,1,1995,Action,Crime,Thriller,7392,3.50,0.89,318,780,593,150,380,100,1983,20.60,3.65,0.98,Drama,Romance,Thriller,Comedy,Adventure
169,4937,2.0,1067052780,0,1995,Adventure,Children,Drama,712,2.22,1.14,1,73,953,783,920,31,1987,18.39,3.53,1.03,Drama,Thriller,Romance,Children,Comedy
172,29573,3.5,1109779199,1,1995,Action,Sci-Fi,Thriller,2722,2.70,1.03,246,163,"","","",2,1994,0.71,4.25,1.06,Action,Romance,Western,Documentary,""
175,15271,3.0,1008099017,0,1995,Drama,"","",1043,3.50,1.10,903,882,922,527,904,31,1982,19.48,4.03,0.60,Drama,Romance,Thriller,Comedy,Mystery
18,29549,3.5,1159381463,1,1995,Comedy,"","",1111,3.31,1.04,527,367,296,356,32,19,1994,1.41,2.68,1.33,Comedy,Drama,Thriller,Crime,War
193,18333,1.0,945587136,0,1995,Drama,"","",1579,2.24,1.19,516,225,282,802,24,81,1994,1.53,3.31,1.08,Drama,Thriller,Action,Comedy,Romance
198,4032,4.5,1360801025,1,1995,Action,Crime,Drama,1988,3.40,0.98,345,673,783,899,903,11,1984,17.79,3.95,0.85,Drama,Romance,Comedy,Musical,Children
208,18333,3.0,945584026,0,1995,Action,Adventure,Sci-Fi,5958,2.85,1.03,442,15,316,786,329,41,1994,1.57,3.20,1.23,Action,Comedy,Drama,Thriller,Romance
230,2088,3.0,854967997,0,1995,Drama,Thriller,"",1614,3.61,0.87,535,334,529,527,515,48,1994,2.81,3.27,0.79,Drama,Thriller,Action,Romance,Adventure
231,6731,3.0,1145690185,0,1994,Adventure,Comedy,"",7051,2.93,1.21,344,586,832,788,208,34,1994,1.63,4.62,0.43,Thriller,Action,Sci-Fi,Drama,Comedy
231,7711,3.0,837091613,0,1994,Adventure,Comedy,"",7051,2.93,1.21,150,380,"","","",6,1992,2.50,3.17,1.33,Adventure,Action,Thriller,Romance,IMAX
